data_fato,hora_fato,grupo_fato,tipo_enquadramento,tipo_fato,municipio_fato,quantidade_vitimas,idade_vitima,sexo_vitima,cor_vitima,precipitacao,temp_max,temp_min,umidade,vento,chuva
2021-03-10,15:50:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,28,masculino,branca,0.0,28.0,12.0,86.0,3.0,Não
2021-03-10,19:30:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,20,masculino,branca,0.0,28.0,12.0,86.0,3.0,Não
2021-07-10,09:15:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,41,masculino,branca,0.0,17.0,9.0,74.0,4.0,Não
2021-07-10,21:00:00,crimes,homicidio doloso,consumado,passo fundo,1,29,feminino,parda,0.0,17.0,9.0,74.0,4.0,Não
2021-08-10,18:30:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,28,masculino,branca,9.0,14.0,12.0,68.0,3.0,Sim
2021-03-11,11:30:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,21,masculino,branca,0.0,28.0,12.0,86.0,3.0,Não
2021-03-11,13:30:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,27,masculino,branca,0.0,28.0,12.0,86.0,3.0,Não
2021-02-12,02:15:00,crimes,homicidio doloso,consumado,passo fundo,1,33,masculino,branca,0.0,24.0,16.0,68.0,3.0,Não
2021-08-12,07:00:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,41,feminino,parda,0.0,14.0,9.0,85.0,4.0,Não
2022-07-01,07:00:00,crimes,homicidio culposo,consumado,passo fundo,1,0,feminino,sem informacao,0.0,16.0,11.0,93.0,3.0,Não
2022-08-01,09:30:00,crimes,homicidio doloso,consumado,passo fundo,1,36,masculino,branca,0.0,21.0,14.0,83.0,2.0,Não
2022-09-01,00:01:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,19,masculino,branca,0.0,11.0,11.0,72.0,3.0,Não
2022-09-01,20:20:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,40,masculino,indigena,0.0,11.0,11.0,72.0,3.0,Não
2022-08-02,14:00:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,28,masculino,sem informacao,0.0,21.0,14.0,83.0,2.0,Não
2022-09-02,04:50:00,crimes,homicidio doloso,consumado,passo fundo,1,20,feminino,preta,18.0,11.0,11.0,72.0,3.0,Sim
2022-04-03,22:00:00,crimes,homicidio doloso,consumado,passo fundo,1,34,masculino,branca,0.0,22.0,14.0,79.0,4.0,Não
2022-05-03,14:15:00,crimes,homicidio doloso,consumado,passo fundo,1,35,masculino,sem informacao,0.0,17.0,17.0,72.0,3.0,Não
2022-12-03,04:30:00,crimes,feminicidio,consumado,passo fundo,1,36,feminino,branca,0.0,31.0,17.0,74.0,3.0,Não
2022-07-04,19:00:00,crimes,homicidio doloso,consumado,passo fundo,1,33,masculino,branca,0.0,16.0,11.0,93.0,5.0,Não
2022-08-05,19:00:00,crimes,homicidio doloso,consumado,passo fundo,2,25,masculino,sem informacao,0.0,20.0,14.0,83.0,2.0,Não
2022-04-06,06:15:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,3,27,feminino,branca,0.0,22.0,14.0,79.0,4.0,Não
2022-05-06,01:00:00,crimes,feminicidio,consumado,passo fundo,1,42,feminino,branca,0.0,17.0,8.0,72.0,3.0,Não
2022-08-06,11:12:00,crimes,homicidio culposo,consumado,passo fundo,1,49,masculino,branca,0.0,20.0,6.0,91.0,2.0,Não
2022-12-06,17:20:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,40,feminino,branca,0.0,31.0,17.0,74.0,3.0,Não
2022-05-07,23:00:00,crimes,homicidio doloso,consumado,passo fundo,1,33,masculino,branca,0.0,17.0,8.0,72.0,3.0,Não
2022-07-07,23:40:00,crimes,homicidio doloso,consumado,passo fundo,1,23,masculino,sem informacao,0.0,24.0,11.0,66.0,5.0,Não
2022-09-07,20:46:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,68,feminino,branca,5.0,11.0,11.0,72.0,3.0,Sim
2022-11-07,19:00:00,crimes,homicidio doloso,consumado,passo fundo,1,18,masculino,parda,0.0,19.0,7.0,54.0,3.0,Não
2022-02-08,17:56:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,1,25,masculino,branca,0.0,26.0,15.0,66.0,3.0,Não
2022-07-08,02:20:00,crimes,homicidio culposo direcao veic automotor,consumado,passo fundo,6,24,masculino,branca,0.0,24.0,11.0,66.0,5.0,Não
2022-08-08,19:00:00,crimes,homicidio doloso,consumado,passo fundo,1,21,feminino,branca,0.0,20.0,6.0,91.0,4.0,Não
2022-09-08,15:00:00,crimes,homicidio doloso,consumado,passo fundo,1,48,masculino,branca,0.0,11.0,11.0,72.0,3.0,Não
2022-01-09,04:53:00,crimes,homicidio culposo,consumado,passo fundo,1,65,masculino,branca,0.0,26.0,15.0,89.0,3.0,Não
